step,stage,machine_id,machine_age,in_maintenance,maintenance_timer,failed,buffer_level,wips_in_machine,wips_held,action,reward
0,0,0,0.0,1,2,0,1204,0,0,1,-19000.0
0,0,1,0.0,1,2,0,1204,0,0,1,-19000.0
0,1,2,0.0,1,2,0,0,0,0,1,-19000.0
0,1,3,0.0,0,0,0,0,0,0,0,-19000.0
1,0,0,0.0,1,1,0,1204,0,0,0,-4000.0
1,0,1,0.0,1,1,0,1204,0,0,1,-4000.0
1,1,2,0.0,1,1,0,0,0,0,1,-4000.0
1,1,3,0.0,0,0,0,0,0,0,0,-4000.0
2,0,0,1.0,0,0,0,1004,100,0,1,-2000.0
2,0,1,1.0,0,0,0,1004,100,0,1,-2000.0
2,1,2,0.0,0,0,0,0,0,0,0,-2000.0
2,1,3,0.0,0,0,0,0,0,0,0,-2000.0
3,0,0,2.0,0,0,0,804,100,0,0,-6000.0
3,0,1,2.0,0,0,0,804,100,0,0,-6000.0
3,1,2,1.0,0,0,0,100,100,0,0,-6000.0
3,1,3,0.0,1,2,0,100,0,0,1,-6000.0
4,0,0,3.0,0,0,0,704,100,0,0,-13000.0
4,0,1,0.0,1,2,0,704,0,0,1,-13000.0
4,1,2,0.0,1,2,0,300,0,0,1,-13000.0
4,1,3,0.0,1,1,0,300,0,0,1,-13000.0
5,0,0,4.0,0,0,0,604,100,0,0,-2000.0
5,0,1,0.0,1,1,0,604,0,0,0,-2000.0
5,1,2,0.0,1,1,0,300,0,0,0,-2000.0
5,1,3,1.0,0,0,0,300,100,0,1,-2000.0
6,0,0,5.0,0,0,0,1400,100,0,0,-2150.0
6,0,1,1.0,0,0,0,1400,100,0,0,-2150.0
6,1,2,1.0,0,0,0,200,100,0,0,-2150.0
6,1,3,2.0,0,0,0,200,100,0,0,-2150.0
7,0,0,6.0,0,0,0,1300,100,0,0,-18000.0
7,0,1,0.0,1,2,0,1300,0,0,1,-18000.0
7,1,2,0.0,1,2,0,400,0,0,1,-18000.0
7,1,3,0.0,1,2,0,400,0,0,1,-18000.0
8,0,0,0.0,1,2,0,1300,0,0,1,-9000.0
